Reference|Ancien_depot|Appellation|Ancienne_appartenance|Ancienne_attribution|Auteur|Bibliographie|Commentaires|Presence_image|Date_d_acquisition|Date_de_depot|Decouverte_collecte|Denomination|Lieu_de_depot|Description|Mesures|Date_de_mise_a_jour|Date_creation|Domaine|Departement|Date_sujet_represente|Ecole_pays|Epoque|Exposition|Genese|Geographie_historique|Historique|Inscription|Numero_inventaire|Appellation_Musee_de_France|Lien_base_Arcade|Lieu_de_creation_utilisation|Localisation|Lien_Video|MANQUANT|MANQUANT_COM|Millesime_de_creation|Millesime_d_utilisation|Code_Museofile|Nom_officiel_musee|Genre|Onomastique|Precisions_sur_l_auteur|Precisions_decouverte_collecte|Periode_de_l_original_copie|Periode_de_creation|Periode_d_utilisation|Precisions_inscriptions|Precisions_lieux_creations|Precisions_sujets_representes|Precisions_utilisation|References_Memoires|References_Merimee|Reference_MAJ|References_Palissy|Region|Sujet_Represente|Lien_INHA|Source_de_la_representation|Statut_juridique|Materiaux_techniques|Titre|Utilisation|Ville|Lien_site_associe|coordonnees|Artiste_sous_droits|Date_entree_dans_le_domaine_public
M0537069412||Imagerie artistique ; Images enfantines ; série 7e ; historiette|||Viollier Auguste-Constantin (1854-1908) (dessinateur);Michelet (18..-19..) (graveur);Quantin Albert (1850-1933)||Datation : blog d'Antoine Sausverd : Topfferiana|oui|28 juin 2010|||album (élément d'ensemble)|||H. 36.4 cm ; l. 25.8 cm (page)|2024-10-16|2020-03-23|imprimé|Vosges|||||oeuvre en rapport||Série 7 éditée en planches et en album en 1890 (source : Topfferiana).|lieu d'impression inscrit,légende,signé|2010.5.27763.15 LIV|Musée de France au sens de la loi n°2002-5 du 4 janvier 2002||France,Ile-de-France,Paris (lieu d'exécution) (lieu de création)|Epinal ; musée de l’image||||1890 dépôt légal||M0537|musée de l'image|masculin ; masculin ; masculin||Viollier (dit), Godefroy Auguste  : Genève, 1854 ; Genève, 1908 ; Quantin : 1886 ; 1890|||4e quart 19e siècle||Série 7. - N° 15. (h.g.) ; IMAGERIE QUANTIN / 7, rue Saint-Benoît, Paris. (h.d.) ; Un riche seigneur (h.g.) [...] de bons amis. (b.d.) ; GODEFROY / MICHELET SC (S.b.d.)||||||||Grand Est|suite de scènes (cycle narratif,Egypte, Antiquité,temple,homme : riche, Egyptien, repos, carafe, verre, ombrelle, domestique,musicien : flûte, harpe,crocodile, attaque,fuite, mendicité, gratitude)|||propriété de la commune;achat avec participation du FRAM;achat avec participation du Fonds National du Patrimoine;Epinal;musée de l’image|papier (chromotypographie)|LE CROCODILE COMPATISSANT (titre inscrit)||Epinal|https://webmuseo.com/ws/musee-de-l-image/app/report/index.html|48.183628, 6.445992||
M0537069448||Imagerie artistique ; Images enfantines ; série 14 ; historiette|||Gumery Adolphe Ernest (1861-1943);Quantin Albert (1850-1933)||Datation : blog d'Antoine Sausverd : Topfferiana|oui|28 juin 2010||Quantin et successeurs|album;élément d'ensemble;à compartiments (11)|||H. 36.4 cm ; l. 25.8 cm (page)|2023-07-27|2020-03-23|imprimé|Vosges|||||œuvre en rapport||Série 14 publication en planches et en album en 1897 (source : Topfferiana) |lieu d'impression inscrit,légende,signé|2010.5.27763.48 LIV|Musée de France au sens de la loi n°2002-5 du 4 janvier 2002||France, Ile-de-France, Paris (lieu d'exécution) (lieu de création)|Epinal ; musée de l’image||||1897 dépôt légal||M0537|musée de l'image|||Gumery Adolphe Ernest (dessinateur) : Paris, 1861 ; Paris, 1943 ; Quantin (imprimeur, éditeur) : 1886 ; 1890|||4e quart 19e siècle||Série 14. - N° 8. (h.g.) ; IMAGERIE QUANTIN / 7, rue Saint-Benoît, Paris. (h.d.) ; A la foire Saint-Germain (h.g.) [...] lui avant de sortir. (b.d.) ; A. Gumery (S.b.d.)||||||M0537069448||Grand Est|suite de scènes (cycle narratif,foire, acrobate, dompteur, lutteur, foule, joie, étonnement, tambour : briser, cacher, rue, animal : fuite,perroquet, singe, autruche, flamant rose, crocodile, serpent, éléphant, kangourou, tigre, enfant : caresse, mort, cage)|||propriété de la commune;achat avec participation du FRAM;achat avec participation du Fonds National du Patrimoine;Epinal;musée de l’image|papier (chromotypographie)|LA MÉNAGERIE (titre inscrit)||Epinal|https://webmuseo.com/ws/musee-de-l-image/app/report/index.html|48.183628, 6.445992||
M0537069645||Imagerie artistique ; Images enfantines ; série 14 ; historiette|||Gumery Adolphe Ernest (1861-1943);Quantin Albert (1850-1933)||Datation : blog d'Antoine Sausverd : Topfferiana|oui|28 juin 2010||Quantin et successeurs|album;élément d'ensemble;à compartiments (11)|||H. 36.8 cm ; l. 26.7 cm (page)|2023-07-27|2020-03-23|imprimé|Vosges|||||œuvre en rapport||Série 14 publication en planches et en album en 1897 (source : Topfferiana)27766.80 LIV|lieu d'impression inscrit,légende,signé|2010.5.27766.8 LIV|Musée de France au sens de la loi n°2002-5 du 4 janvier 2002||France, Ile-de-France, Paris (lieu d'exécution) (lieu de création)|Epinal ; musée de l’image||||1897 dépôt légal||M0537|musée de l'image|||Gumery Adolphe Ernest (dessinateur) : Paris, 1861 ; Paris, 1943 ; Quantin (imprimeur, éditeur) : 1886 ; 1890|||4e quart 19e siècle||Série 14. - N°. 8. (h.g.) ; IMAGERIE QUANTIN / 7, rue Saint-Benoit, Paris. (h.d.) ; A la foire Saint-Germain (h.g.) [...] lui avant de sortir. (b.d.) ; A. Gumery (S.b.d.)||||||M0537069645||Grand Est|suite de scènes (cycle narratif,foire, acrobate, dompteur, lutteur, foule, joie, étonnement, tambour : briser, cacher, rue, animal : fuite,perroquet, singe, autruche, flamant rose, crocodile, serpent, éléphant, kangourou, tigre, enfant : caresse, mort, cage)|||propriété de la commune;achat avec participation du FRAM;achat avec participation du Fonds National du Patrimoine;Epinal;musée de l’image|papier (chromotypographie)|LA MÉNAGERIE (titre inscrit)||Epinal|https://webmuseo.com/ws/musee-de-l-image/app/report/index.html|48.183628, 6.445992||
M0537043317||historiette|||Pellerin & Cie (imprimeur, éditeur);Lamouche (1864-19..)|||oui|28 juin 2010|||à registres (4)|||H. 39.8 cm ; l. 28.5 cm (feuille)|2024-11-21|2020-04-23|estampe;histoire;vie militaire|Vosges||||||||lieu d'impression inscrit,numéro de série,légende,signé|2010.5.2435 B|Musée de France au sens de la loi n°2002-5 du 4 janvier 2002||France, Grand Est, Vosges, Épinal (lieu d'exécution) (lieu de création)|Epinal ; musée de l’image||||1890-1892||M0537|musée de l'image|||Lamouche Oscar (dessinateur) : 1864 ; ?|||4e quart 19e siècle||PELLERIN & Cie, impr.-édit. (h.g.) ; IMAGERIE D'ÉPINAL N° 431 (h.d.) ; Depuis peu au Tonkin (h.g.) ... à être un vaillant fils. (b.d.) ; Lamouche (S.b.d.)||||||M0537043317||Grand Est|scènes (cycle narratif, époque 19e siècle : Troisième République, colonisation, guerre : Tonkin, Asie hist, Vietnam, soldat, armée : France, surveillance, fusil : épaule, groupe : Chine, embuscade, sabre, soleil, saut, capture, captif : cage, mort : crochet, mort par le feu, attaque, couper : corps, fuite, serpent, poursuite, tête : crocodile, nage, île, chef militaire, pistolet, bataille, marin, général, remise : récompense, décoration, feuillet, baïonnette, port, bateau à voiles)|||propriété de la commune;achat avec participation du FRAM;achat avec participation du Fonds National du Patrimoine;Epinal;musée de l’image|papier (lithographie (colorié au pochoir))|DUMANET AU TONKIN (titre inscrit)||Epinal|https://webmuseo.com/ws/musee-de-l-image/app/report/index.html|48.183628, 6.445992||
M0537043004||historiette|||Hennault Henry (dessinateur, attribué à);Pellerin & Cie (imprimeur, éditeur)|||oui|28 juin 2010|||à registres (4)|||H. 40.3 cm ; l. 29.6 cm (feuille)|2022-12-09|2020-04-23|estampe|Vosges|||||oeuvre en rapport;édition||"Courrier de Henry Hennault à Pellerin & Cie du 16 juin 1894 (ADV : 48J742) ; version en néerlandais intitulée ""Remedie tegen het Spleen"" (coll. MIE 990.1.2185 B)"|lieu d'impression inscrit,numéro de série,légende|2010.5.2264 B|Musée de France au sens de la loi n°2002-5 du 4 janvier 2002||France, Grand Est, Vosges, Épinal (lieu d'exécution) (lieu de création)|Epinal ; musée de l'image||||1896 dépôt légal||M0537|musée de l'image|||Hennault Henry (actif pour l’imagerie Pellerin & Cie  de 1891 à 1901)|||4e quart 19e siècle||PELLERIN & Cie, imp.-édit. (h.g.) ; IMAGERIE D'ÉPINAL N° 340 (h.d.) ; Milord Tristamor est atteint du spleen (h.g.) [...] aux misères d'autrui et à les soulager. (b.d.)||||||M0537043004||Grand Est|suite de scènes (cycle narratif,homme : Anglais, mélancolie, richesse, capitaine, conversation,femme, salut : mouchoir, bateau à voiles, départ,casque colonial, observation, barque,crocodile, attaque, fuite, peur,flèche, Noir, arrivée,aller,captif : poteau, crâne, os, groupe, danse,reine, secours,assis, trône, couronne,soldat : Angleterre, fusil, baïonnette, pistolet, sabre,cage, ménagerie, Londres, retrouvailles, garçon,accueil, famille, joie)|||propriété de la commune;achat avec participation du FRAM;achat avec participation du Fonds National du Patrimoine;Epinal;musée de l'image|papier (lithographie (colorié au pochoir))|REMÈDE contre LE SPLEEN (titre inscrit)||Epinal|https://webmuseo.com/ws/musee-de-l-image/app/report/index.html|48.183628, 6.445992||
M0537049868||historiette|||Pellerin Charles (imprimeur, éditeur)|||oui|28 juin 2010|||à compartiments (4x4)|||H. 38.5 cm ; l. 29.8 cm (feuille)|2024-11-21|2020-04-23|estampe|Vosges|||||retirage;édition||"d'après Pellerin n° 857 (1877) ; réédité par Pellerin n° 857 (entre 1889 et 1921) et Imagerie Pellerin n° 857 (après 1921) ; image publiée par Pellerin dans l'album "" ALBUMS COMPOSES SPECIALEMENT POUR GARCONS 6 "" (990.2.173.11 Alb) et "" ALBUM / D'IMAGES / IMAGERIE PELLERIN / EPINAL "" (2014.4.1.34 Alb)"|lieu d'impression inscrit,légende|2010.5.10465 B|Musée de France au sens de la loi n°2002-5 du 4 janvier 2002||France,Grand-Est,Vosges,Épinal (lieu d'exécution) (lieu de création)|Epinal ; musée de l’image||||1880-1887||M0537|musée de l'image|||Actif de 1880 à 1887|||4e quart 19e siècle||Typ. lith. Ch. Pellerin à Epinal. (b.g.) ; Déposé. (b.d.) ; Anatole, fils d'un riche planteur (h.g.) [...] mon égal et mon frère. (b.d.)||||||||Grand Est|scènes (cycle narratif, moralisant, île, garçon : Blanc, bourgeoisie, mépris, Noir, aller, conversation, reproche, serpent, peur, fuite, grimper, rocher, attaque, coup : bâton, forêt, cri, arbre, tigre, nourrisson, marais, crocodile, roseau, protection, gueule : ouvert, bois mort, branche, fabrication, abri, construction, digue, cours d'eau, scorpion : empoisonnement, soin, secours, portant, agriculteur, arrivée, étreinte, baiser, repentir)|||propriété de la commune;achat avec participation du FRAM;achat avec participation du Fonds National du Patrimoine;Epinal;musée de l’image|papier (lithographie (colorié au pochoir))|PETIT NOIR ET PETIT BLANC. 857 (titre inscrit)||Epinal|https://webmuseo.com/ws/musee-de-l-image/app/report/index.html|48.183628, 6.445992||
07760003217|||Galerie, Antiquités Barboteau (La Roche sur Yon), 1987, La Roche-sur-Yon||Rabier Benjamin (1864-1939);SARREGUEMINES (manufacture)|||oui|1987 acquis|||assiette;série||Faïence de Sarreguemines|Diamètre en cm 20|2022-06-15|2020-06-26|arts décoratifs;céramique;vie domestique|Vendée|||||||||987.4.6|Musée de France au sens de la loi n°2002-5 du 4 janvier 2002|||La Roche-sur-Yon ; musée municipal||||||M0776|musée municipal|||RABIER Benjamin : La Roche-sur-Yon, 1864 ; Faverolles, 1939 ; nationalité : Française#SARREGUEMINES : ?, 1784 ; ?, ?|||4e quart 19e siècle;1er quart 20e siècle;1ère moitié 20e siècle||Signature, En bas à droite||||||07760003217||Pays-de-la-Loire|(crocodile)|||propriété de la commune;achat;La Roche-sur-Yon;Musée Municipal|faience|Présence d'esprit|Consommation des aliments|La Roche-sur-Yon||46.669265, -1.428828||
05630030343|||||JUBA II (émetteur)|exposition présentée au Musée Saint-Raymond, musée d'archéologie de Toulouse, du 1er mars au 30 septembre 1990 , Art grec, de la terre à l'image, Toulouse, Musée Saint-Raymond, 1990 (n° 136)#exposition présentée au Musée Saint-Raymond, musée d'archéologie de Toulouse, en 1993, L'art grec au Musée Saint-Raymond, Toulouse, Musée Saint-Raymond, 1993 (n° 136)#Alexandropoulos (Jacques), Les monnaies de l'Afrique romaine, Toulouse, Presses Universitaires du Mirail, 2000 (p. 115 à 118)#Périple méditerranéen. Antiquités d'Afrique du Nord et du Moyen-Orient au musée Saint-Raymond, musée des Antiques de Toulouse. Exposition, musée Saint-Raymond, Toulouse, 2003 (p.109 n° 202)||oui|||(Provenance inconnue, lieu de découverte)|monnaie;as||A/  REX IVBA. REGIS. IVBAE. F. Buste diadémé et drapé de Juba II à gauche. Grènetis. R/  R. PTOL. R.A. XVII. Crocodile à droite. Grènetis. Cette monnaie inédite et fort rare de Ptolémée montre l'une des meilleures effigies que l'on ait de son père, le roi Juba II, qui gouverna la Maurétanie à l'époque d'Auguste. Le roi, fin lettré et savant, représente un bon exemple de synthèse des cultures grecque, latine et africaine.|Poids en gr 9,37 ; Axe en h 11|2026-04-08|2021-03-19|archéologie;numismatique;grec;commerce - économie - finances|Haute-Garonne||||Art grec, De la terre à l'image, musée Saint-Raymond, Toulouse, 21/02/1990 - 30/09/1990#Périple méditerranéen, musée Saint-Raymond, Toulouse, 28/11/2003 - 04/04/2004|||||2000.15.164 ; AG 90 - 136 (Ancien numéro)|Musée de France au sens de la loi n°2002-5 du 4 janvier 2002||Afrique, Afrique du Nord, Algérie, Cherchell (lieu de création)|Toulouse ; musée Saint-Raymond – Musée d’archéologie de Toulouse||||||M0563|musée Saint-Raymond - Musée d’Archéologie de Toulouse ||||||2e quart 1er siècle||légende (latin, Latin), Droit : REX IVBA. REGIS. IVBAE. F. ; légende (latin, Latin), Revers : R. PTOL. R.A. XVII.||||||||Occitanie|(Juba II, buste diadémé)|||propriété de la commune;mode d'acquisition inconnu;Toulouse;musée Saint-Raymond  u2013 Musée d’archéologie de Toulouse|bronze (frappé)|||Toulouse|https://www.wikidata.org/wiki/Q105530692|43.608897, 1.441776||
M0537046792||historiette|||Maurin Victor Odilon (1832- ?) (graveur);Pellerin  (imprimeur, éditeur)|Garnier-Pelle Nicole “L’imagerie populaire française II / Images d’Epinal gravées sur bois”, Paris, Réunion des musées nationaux / Bibliothèque nationale de France, 1996, p. 297, cat. n°1231 (datation) ; Musa Bernard, “Images populaires françaises” [catalogue de vente, Lille, Vauban Collections], Lille, Librairie Vauban Collections, [ca. 1997], p. 12.|Datation : septembre 1861 (Catalogue Alain Dubois)|oui|28 juin 2010|||à compartiments (5x4)|||H. 40.8 cm ; l. 32.6 cm (feuille)|2023-06-19|2021-03-24|estampe|Vosges|||||oeuvre en rapport||image lithographiée par Pellerin n° 1238 (après 1861), Pellerin & Cie n° 1238 (entre 1889 et 1921) et Imagerie Pellerin n° 1238 (après 1921)|lieu d'impression inscrit,légende,signé,timbre de colportage|2010.5.7448 B|Musée de France au sens de la loi n°2002-5 du 4 janvier 2002||France, Grand Est, Vosges, Épinal (lieu d'exécution) (lieu de création)|Epinal ; musée de l’image||||1861 dépôt légal||M0537|musée de l'image|||Maurin Victor Odilon (graveur) : Sainte-Croix, 1832 ; ?|||3e quart 19e siècle||Fabrique de PELLERIN, Imprimeur-Libraire à Épinal. (b.d.) ; Propriété de l'Éditeur. (Déposé.) (b.g.) ; Loulou était un affreux petit bonhomme (h.g.) [...] de la princesse Marmelade. (b.d.) ; MAURIN (S.b.d.) ; VOSGES / COLPORTAGE (b.g., encre bleue, revers)||||||||Grand Est|suite de scènes (cycle narratif,nain, difforme, bossu, observation,père, coup : pied, fouet,fuite, préhension, drap,vieille, penché, fenêtre, présentation, gamelle,groupe : chien, arrivée, saut,assis, chaise, alimentation animale, squelette : oiseau,vase : casser, babouche, crocodile, hibou : animal naturalisé, flacon,roi : sauvage, lunette, plume, désigner, homme,course, poteau, victoire, chute,soldat, sabre, captif, prison,forêt, collation, poire, poirier,nez : allongement,pommier,reflet : ruisseau, pomme,château, panier, cri, cuisinier, couteau,reine, conversation,trône, éventail,chemin, de dos,couple, danse,mariage, fée, nuée, baguette : magie, métamorphose, prince : beauté)|||propriété de la commune;achat avec participation du FRAM;achat avec participation du Fonds National du Patrimoine;Epinal;musée de l’image|papier (bois de fil (colorié au pochoir))|HEUR ET MALHEUR DE LOULOU L'ENCHANTEUR. 1025 (titre inscrit)||Epinal|https://webmuseo.com/ws/musee-de-l-image/app/report/index.html|48.183628, 6.445992||
M0338004408||trousse à dessin||||||oui|01/11/2011|||trousse||Trousse rectangulaire en cuir souple brun motif crocodile s’ouvrant en trois compartiments avec rabats de protection en haut et en bas contenant 21 crayons de couleurs, un compas, un rapporteur, une plume, une mine de plomb et 3 embouts pinceaux se fixant sur le compas ou la mine de plomb. Fermeture bouton pression métal.|Trousse ouverte : L.20 ; l.39 ; ep.1 cm. Trousse fermée : L.20 ; l.10,5 ; ep. 3 cm.|2024-11-20|2021-04-09|vie domestique|Doubs|||||||||2012.0.142|Musée de France au sens de la loi n°2002-5 du 4 janvier 2002|||Nancray ; Musée de plein air des maisons Comtoises||||1900-2000||M0338|musée de Plein Air des Maisons Comtoises||||||20e siècle||||||||M0338004408||Bourgogne-Franche-Comté||||propriété d'un syndicat mixte;don manuel;Nancray;musée de plein air des maisons comtoises|cuir, bois, métal|||Nancray||47.242984, 6.18963||
M0537048498|||||Pellerin (imprimeur, éditeur)|||oui|28 juin 2010|||à registres (4)|||H. 46.5 cm ; l. 36.5 cm (feuille)|2025-01-09|2021-04-21|estampe;ethnologie;costume - accessoires du costume|Vosges||||||||lieu d'impression inscrit,légende,cachet de collectionneur,inscription|2010.5.9105 B|Musée de France au sens de la loi n°2002-5 du 4 janvier 2002||France, Grand Est, Vosges, Épinal (lieu d'exécution) (lieu de création)|Epinal ; musée de l’image||||1860 dépôt légal||M0537|musée de l'image||||||3e quart 19e siècle||Imprimerie Lith. de Pellerin à Epinal. (b.g.) ; Propriété de l'Editeur. Déposé. (b.d.) ; Le THIBET - contrée de l'Asie (h.g.) [...] qu'ils attèlent à leurs traineaux. (b.d.) ; H.George (b.d., encre, revers) ; 9687 / 35 (c.g., manuscrit, revers)||Watéoo correspond à Takutéa dans les îles Cook. ;  Yakout correspond à la République de Sakha ou Iakoutie en Russie. ;  Nuu-chah-nulth ou Nootka, sont un peuple d'Amérindiens de la côte occidentale du canada.||||||Grand Est|scènes (homme, femme, Tibet, luth, flèche : bannière, arc, Takutea : Îles Cook, Océanie, rame, France, peintre, bourgeoisie, armure, Autriche, soldat, Nouvelle-Calédonie, massue, Alsace, en appui, table, pipe, République de Sakha : Russie, Nuu-chah-nulth : Indien d'Amérique du nord, rame, Italie, luth, Floride : Etats-Unis, flèche, arc, Tyrol, fusil, chamois, Belgique, présentation, poisson, main : poche, Nigritien : Afrique hist, massue, crocodile, Martinique : Antilles françaises, plateau : tête, cueillette, Colombie, massue, Sibérie, berger, Nubie, faux, sabre, Esquimau : Groenland, chien, traîneau)|||propriété de la commune;achat avec participation du FRAM;achat avec participation du Fonds National du Patrimoine;Epinal;musée de l’image|papier (lithographie (doré, colorié au pochoir))|VOYAGE AUTOUR DU MONDE, N°.1. N°. 93. (titre inscrit)||Epinal|https://webmuseo.com/ws/musee-de-l-image/app/report/index.html|48.183628, 6.445992||
M0537054909|||||Gangel et Didion (imprimeur, éditeur)||Datation : 4 mai 1866 (Archives départementales de la Moselle)|oui|28 juin 2010|||planche d'animaux|||H. 41.9 cm ; l. 32.4 cm (feuille)|2022-11-18|2021-04-23|estampe;faune|Vosges|||||oeuvre en rapport||Image éditée par Gangel et Didion à Metz le 4 mai 1866 (Musée de l'Image : 2010.5.15444 B ; Archives départementales de la Moselle  : 1 T 110)|lieu d'impression inscrit,légende,cachet de collectionneur,timbre de colportage|2010.5.15444 B|Musée de France au sens de la loi n°2002-5 du 4 janvier 2002||France, Grand Est, Moselle, Metz (lieu d'exécution) (lieu de création)|Epinal ; musée de l’image||||1866 dépôt légal||M0537|musée de l'image||||||3e quart 19e siècle||Fabrique d'Images de GANGEL et P. DIDION, à Metz. (b.c.) ; 1. Serpent Boa. (h.g.) (...) 9. Hibou. (b.d.) ; H. George (b.d., encre bleue, revers) ; COLPORTAGE (b.g., revers)||||||||Grand Est|représentation animalière (reptile, serpent : boa, oiseau, perdrix, mammifère, renard, orang-outang, couleuvre, tigre, papillon, cerf, hérisson, éléphant, biche, lionne, rhinocéros, écureuil, panthère, flamant rose, chevreuil, chameau, loup, sanglier, ours, lion, cacatoès, fouine, morse, tapir, élan, canard, lynx, jaguar, glouton, singe, crocodile, loutre, zèbre, hibou)|||propriété de la commune;achat avec participation du FRAM;achat avec participation du Fonds National du Patrimoine;Epinal;musée de l’image|papier (lithographie (colorié au pochoir))|ANIMAUX DIVERS. 352 (titre inscrit)||Epinal|https://webmuseo.com/ws/musee-de-l-image/app/report/index.html|48.183628, 6.445992||
M0120010953|||Collection Marcelle Baud||Baud Marcelle (1890-1987)|"WINLOCK Herbert Eustis, ""The Museum’s Excavations at Thèbes"", Metropolitan Museum of Art Bulletin : The Egyptian Expedition 1922-1923, 1923, p. 35, fig. 29"||oui|1990|||||6 dessins au crayon graphite sur papier et une photographie collés sur une plus grande feuille.|L. 20,7 cm ; H. 30,9 cm|2026-09-04|2021-05-11|archéologie;égyptien;dessin;photographie|Puy-de-Dôme|Nouvel Empire ; XVIIIe dynastie ; Hatchepsout (1479 - 1457 av. J.-C.) ; Thoutmôsis III (1479 - 1425 av. J.-C.)||époque contemporaine||projet d'illustration;oeuvre en rapport;reproduit en photographie||"Photographie d'un ostracon découvert à Deir el-Bahari près de Thèbes en Haute-Egypte et conservé au Metropolitan Museum of Art de New-York sous le numéro d'inventaire 23.3.7. Projet d'illustration non identifié. Etude des angles de représentation dans les hiéroglyphes pour l'ouvrage ""Le caractère du dessin en Egypte ancienne"" de BAUD Marcelle (?)."|annotation concernant la représentation,filigrane|990.11.236.3|Musée de France au sens de la loi n°2002-5 du 4 janvier 2002|||Clermont-Ferrand ; musée Bargoin||||||M0120|musée Bargoin|||Paris, 1890 ; Mailhat, 1987|||20e siècle||"Notes au crayon graphite : ""Figure 3"" / ""ostracon croquis d'après natureen vrai profil (à comparer avec la figure n°6. New York. Metropolitan museum n°3.556 Provenance ; Deir el Bahari"" / ""Objets et animaux représentés en projection verticale sur plan latéral (profil)"" Filigrane en haut à gauche : ""M"" / ""ANO"""||Hiéroglyphes||||M0120010953||Auvergne-Rhône-Alpes|représentation animalière (oiseau, veau, crocodile, corne),représentation d'objet (couronne)|||propriété de la commune;don manuel;Clermont-Ferrand;musée Bargoin|papier (collé, graphite, photographie)|Animaux et objets (titre factice)|enseignement;illustration|Clermont-Ferrand||45.774229, 3.0869|oui|2058
M0120011018|||Collection Marcelle Baud||Baud Marcelle (1890-1987)|||oui|1990|||||Dessin à l'encre bleue et au graphite sur papier canson.|L. 42 cm ; H. 32,8 cm|2026-09-04|2021-05-11|archéologie;égyptien;dessin|Puy-de-Dôme|Deuxième Période Intermédiaire ; XIIIe dynastie ; Sobekhotep III (1730 - 1724 av. J.-C.)||époque contemporaine||copie d'étude;oeuvre en rapport;reproduit en dessin||Copie d'un décor présent sur un bloc de Seberkhotep III.|annotation concernant la représentation,signature|990.11.11|Musée de France au sens de la loi n°2002-5 du 4 janvier 2002|||Clermont-Ferrand ; musée Bargoin||||||M0120|musée Bargoin|||Paris, 1890 ; Mailhat, 1987|||20e siècle||"Signature en bas à droite : ""MB"" Notes au graphite : ""Bloc de Seberkhotep III"""||||||M0120011018||Auvergne-Rhône-Alpes|scène (homme, boeuf)|||propriété de la commune;don manuel;Clermont-Ferrand;musée Bargoin|papier canson (encre bleue, graphite)|Bloc de Seberkhotep III (titre factice)|enseignement;illustration|Clermont-Ferrand||45.774229, 3.0869|oui|2058
M0120011029|||Collection Marcelle Baud||Baud Marcelle (1890-1987)|PORTER Bertha ; MOSS Rosalind Louisa Beaufort, Topographical Bibliography of Ancient Egyptian Hieroglyphic Texts, Reliefs and Paintings, V. Upper Egypt. Sites, Oxford, Griffith Institute, 1939 ; ELKAB II collectif, Fouilles de El Kab. Documents. Livraison II, Bruxelles, Fondation égyptologique Reine Elisabeth à Bruxelles, 1940, pl. 30||oui|1990|||||Dessin à l'encre noire et au graphite sur papier.|L. 32,1 cm ; H. 39,9 cm|2026-09-04|2021-05-11|archéologie;égyptien;dessin|Puy-de-Dôme|Deuxième Période Intermédiaire ; XIIIe dynastie ; Sobekhotep III (1730 - 1724 av. J.-C.)||époque contemporaine||projet d'illustration;oeuvre en rapport;reproduit en dessin||"Relevé d'un bloc découvert sur le site d'Elkab en Haute-Egypte pour être publié dans l'ouvrage ""Fouilles de El Kab : Documents. Livraison 2"" de ELKAB II Collectif (cf. Bibliographie)."|annotation concernant la représentation|990.11.97|Musée de France au sens de la loi n°2002-5 du 4 janvier 2002|||Clermont-Ferrand ; musée Bargoin||||1937-1940||M0120|musée Bargoin|||Paris, 1890 ; Mailhat, 1987|||2e quart 20e siècle;1ère moitié 20e siècle||"Notes au graphite : ""fond tramé"""||Bloc du Heb-sed de Sebekhotep III.||||M0120011029||Auvergne-Rhône-Alpes|écriture,vue d'architecture|||propriété de la commune;don manuel;Clermont-Ferrand;musée Bargoin|papier (encre noire, graphite)|Bloc du Heb-sed de Sobekhotep III (titre factice)|enseignement;illustration|Clermont-Ferrand||45.774229, 3.0869|oui|2058
M0537017287|||Bibliothèque municipale||Imagerie Pellerin (imprimeur, éditeur)|||oui||||planche d'animaux;à registres (8)|||H. 40,2 cm ; l. 29,5 cm|2023-04-14|2021-05-11|estampe;faune;enseignement|Vosges|||||retirage||d'après Pellerin n° 157 (1867), n° 518 et sans numéro (1875) et n° 518 (entre 1886 et 1890)|nom d’imprimeur inscrit,inscription donnant l’identité du modèle,légende,marque de bibliothèque|990.1.541 B ; IV / 30|Musée de France au sens de la loi n°2002-5 du 4 janvier 2002||France, Grand Est, Vosges, Épinal (lieu d'exécution) (lieu de création)|Epinal ; musée de l’image||||1921 après||M0537|musée de l'image|||Actif après 1921|||1er quart 20e siècle||IMAGERIE PELLERIN (h.g.) ; IMAGERIE D’EPINAL N° 1274 (h.d.) ; La Grenouille Commune. (h.g.) [...] Le Serpent Boa Bojobi. (b.d.) ; BIBLIOTHEQUE - EPINAL (cachet circulaire, h.d.)||grenouille-taureau : ouaouaron ou grenouille mugissante, amphibien d’Amérique du Nord ;  seps : espèces de lézards à pattes courtes ressemblant à un serpent ;  tortue verte : ou tortue franche, tortue marine des eaux tropicales ;  tortue bourbeuse : espèces de tortue aquatique ;  tortue grecque : ou tortue mauresque, tortue terrestre de méditerranéenne et du Moyen-Orient ;  bojobi : ou cobra verde, serpent d’Amérique||||||Grand Est|représentation animalière (reptile, batracien,grenouille, crapaud, serpent, vipère, aspic, couleuvre, lézard, salamandre, crocodile, iguane, chélonien, boa, cobra)|||propriété de la commune;changement d'affectation;Epinal;musée de l’image|papier mécanique (lithographie (colorié au pochoir))|HISTOIRE NATURELLE.(REPTILES). (titre inscrit)||Epinal|https://webmuseo.com/ws/musee-de-l-image/app/report/index.html|48.183628, 6.445992||
