museum,city,country,lead_source,lead_detail,source_reliability,resolution,x_agents
EES Graeco-Roman Branch 1898-99 Theadelphia (Harit) distribution destinations (20 institutions),UNKNOWN,UNKNOWN,https://egyptartefacts.griffith.ox.ac.uk/excavations/1898-99-theadelphia-faiyum/index.html,Grenfell & Hunt 1898-99 Theadelphia finds distributed to: Birmingham Univ. Ethnological Museum; Cairo Giza Museum; Harvard; Dublin Museum of Science and Art; Edinburgh Museum; Univ. Edinburgh; Harrow School; Haileybury College; Liverpool Univ. Biology Dept; Liverpool College; Univ. Melbourne; Brooklyn Institute; General Theological Seminary NY; Princeton; Repton; Rugby; Toronto; Winchester; Eton. Page does NOT say crocodile mummies were among them - check the 74 archival distribution documents for 'crocodile'.,OFFICIAL,OPEN,toponyms
Hawara 1910-11 (Petrie) distribution destinations (41),UNKNOWN,UNKNOWN,https://egyptartefacts.griffith.ox.ac.uk/excavations/1910-11-hawara/index.html,"Petrie Hawara 1910-11 finds went to 41 destinations incl. Aberdeen, Bolton, Boston, Brighton, Bristol, Brussels, Cairo, Fitzwilliam, MAA Cambridge, Copenhagen, Dublin, Edinburgh, Glasgow, Leicester, Liverpool, BM, Horniman, Manchester, Munich, Brooklyn, Nottingham, Ashmolean, Pitt Rivers ... Hawara had a crocodile cemetery (PM IV p.102; Petrie, Kahun, Gurob and Hawara 1890 pp.14-18) - check distribution docs for crocodile mummies.",OFFICIAL,OPEN,toponyms
Slovenia/Serbia/Bosnia/Bulgaria/N. Macedonia/Albania/Cyprus/Turkey (Istanbul Archaeology Museums)/Georgia/Armenia/Belarus/Moldova/Azerbaijan,various,UNKNOWN,assignment candidate list,Not searched (WebSearch budget exhausted),SECONDARY,OPEN,central_east_europe
UNKNOWN (museum specimens sampled by Hekkala et al. 2011),UNKNOWN,UNKNOWN,De Cupere et al. 2023 citing Hekkala et al. 2011 Molecular Ecology 20: 4199-4215,Eight mummified crocodile hatchlings from Thebes and the es-Samun caves (al-Maabda) sampled for DNA - holding museums to be identified (possibly AMNH New York),SCHOLARLY,OPEN,toponyms
UNKNOWN museum (Hekkala et al. 2020 'Secrets of Sobek'),UNKNOWN,UNKNOWN,"De Cupere et al. 2023 ref. 35: Hekkala et al. 2020, J Archaeol Sci Rep 33:102483, doi 10.1016/j.jasrep.2020.102483","aDNA mitogenome of an undated museum crocodile mummy c. 2.5 m, probably from Kom Ombo (C. suchus); also 8 hatchlings from Thebes and es-Samun (Maabda) assigned to C. suchus (Hekkala et al. 2011). Holding museum(s) to be identified by literature agent.",SCHOLARLY,OPEN,egypt
"Ackland Art Museum, UNC","Chapel Hill, NC",US,https://ackland.org/,403; not checked.,OFFICIAL,OPEN,usa_south
Albany Institute of History & Art,Albany,US,Assignment candidate list (unverified memory list from orchestrator); not checked due to budget,NOT YET SEARCHED. Resume: Egyptian collection; search 'crocodile',SECONDARY,OPEN,usa_northeast
American Museum of Natural History (Division of Anthropology),New York,US,Assignment candidate list (unverified memory list from orchestrator); not checked due to budget,NOT YET SEARCHED. Resume: Anthropology collections DB https://anthro.amnh.org/collections - search 'crocodile' + 'mummy',SECONDARY,CHECKED_NO_CONFIRMATION,usa_northeast
Art Museum of the University of Memphis / IEAA,"Memphis, TN",US,https://amum.catalogaccess.com/search (keyword crocodile),"PastPerfect JS-only DB; search 'crocodile', 'animal mummy' in a browser.",OFFICIAL,OPEN,usa_south
Baltimore Museum of Art,"Baltimore, MD",US,https://artbma.org/,Site 403; search collection for crocodile/mummy manually.,OFFICIAL,OPEN,usa_south
Birmingham Museum of Art,"Birmingham, AL",US,https://www.artsbma.org/?s=crocodile,Cloudflare 403; collection DB not searched.,OFFICIAL,OPEN,usa_south
Bowdoin College Museum of Art / Hood Museum (Dartmouth) / Fleming Museum (UVM) / Fairbanks Museum / Currier Museum / Maine State Museum / Portland Museum,Northern New England,US,Assignment candidate list (unverified memory list from orchestrator); not checked due to budget,NOT YET SEARCHED. Resume: collection DBs - search 'crocodile mummy',SECONDARY,OPEN,usa_northeast
Brooklyn Museum,New York,US,"Bleiberg, E., Barbash, Y. & Bruno, L. 2013. Soulful Creatures: Animal Mummies in Ancient Egypt. Brooklyn Museum/Giles (cited in Oliva & Borla 2019 and Ikram 2019); WebSearch snippet; https://www.brooklynmuseum.org/opencollection/objects/3124 (429 Too Many Requests); WebSearch result titles 'Crocodile Mummy · Brooklyn Museum' (https://www.brooklynmuseum.org/objects/3124; https://brooklynmuseum.org/opencollection/objects/117917); Bleiberg, Barbash & Bruno 2013 Soulful Creatures","Exhibition catalogue of Brooklyn animal mummies; crocodile mummies to check | Crocodile Mummy, 37.1365E, Ptolemaic, place made 'Manfalont' (Manfalut) | Candidate crocodile mummies 14.668, 37.1365E (Ptolemaic, Manfalut), 37.1366E (Late Period). Open the two object pages in a browser (Vercel checkpoint blocks bots) or use Brooklyn API with key; search site for 'crocodile' and 'Sobek'.",SCHOLARLY; OFFICIAL; SECONDARY,IN_MASTER INST-US-001,literature;toponyms;usa_northeast
Brooks Museum; Lauren Rogers Museum; Mississippi Museum of Natural Science; University of Mississippi Museum; New Orleans Museum of Art; Tulane collections; LSU Museum of Art; Arkansas Museum of Fine Arts,UNKNOWN,US,UNKNOWN,Not checked.,SECONDARY,OPEN,usa_south
Buffalo Museum of Science,Buffalo,US,Assignment candidate list (unverified memory list from orchestrator); not checked due to budget,NOT YET SEARCHED. Resume: online collection search 'crocodile mummy',SECONDARY,OPEN,usa_northeast
"Burke Museum of Natural History and Culture (Herpetology, UWBM:Herp:7021)",Seattle,US,https://api.gbif.org/v1/occurrence/5195959520,"Crocodylus niloticus 'skin; whole organism (mummified)', total length 70 mm, no locality - possibly an Egyptian hatchling mummy but not stated; Arctos page unreachable in this session",OFFICIAL,OPEN,usa_midwest_west
"Burke Museum of Natural History and Culture, University of Washington (UWBM)",Seattle,US,GBIF occurrence 5195959520 / iDigBio 42c1b487-77cb-447e-8176-cec9fa14cf6e (UWBM:Herp:7021),"Crocodylus niloticus, preparations 'skin; whole organism (mummified)', no locality, collector unknown. Egyptian/ancient origin not stated; check Arctos record and label.",OFFICIAL,CHECKED_NO_CONFIRMATION,biodiversity
"Cantor Arts Center, Stanford University",Stanford,US,https://cantorcollection.stanford.edu/search/crocodile,Stanford family Egyptian collection; eMuseum returned login page,OFFICIAL,OPEN,usa_midwest_west
Carnegie Museum of Natural History,Pittsburgh,US,"Pubblico 2025, Heritage 8:415, fig. 14b; Assignment candidate list (unverified memory list from orchestrator); not checked due to budget",Crocodile mummy CMNH 1867-4 (3D model) | NOT YET SEARCHED. Resume: collection DB https://carnegiemnh.org - search 'crocodile',SCHOLARLY; SECONDARY,IN_MASTER INST-US-002,france;usa_northeast
Charleston Museum,"Charleston, SC",US,https://www.charlestonmuseum.org/,403; holds Egyptian material - search collections for crocodile mummy.,OFFICIAL,OPEN,usa_south
The Children's Museum of Indianapolis,Indianapolis,US,https://www.childrensmuseum.org/search,Egyptian mummy and possibly animal mummies; not searched,OFFICIAL,OPEN,usa_midwest_west
Chrysler Museum of Art,"Norfolk, VA",US,https://chrysler.emuseum.com/search/crocodile,"eMuseum 403 to scripts; search 'crocodile', 'mummy' manually.",OFFICIAL,OPEN,usa_south
Crocker Art Museum,Sacramento,US,https://emuseum.crockerart.org/search/crocodile,URL guessed; proxy 502,SECONDARY,OPEN,usa_midwest_west
Delaware Art Museum; Muscarelle Museum (W&M); Virginia Museum of Natural History; Mint Museum; Columbia Museum of Art; Lowe Art Museum; Orlando Museum of Art,UNKNOWN,US,UNKNOWN,Collection DBs not searched (Delaware eMuseum search path 404; others website-level only or not at all).,SECONDARY,OPEN,usa_south
Denver Museum of Nature & Science,Denver,US,https://www.dmns.org/,Egyptian mummies/animal mummies possible; site 403,OFFICIAL,OPEN,usa_midwest_west
Detroit Institute of Arts,Detroit,US,https://dia.org/collection?search=crocodile,Egyptian collection with animal mummies; DB Cloudflare 403,OFFICIAL,OPEN,usa_midwest_west
Drexel University (formerly Drexel Institute) collections,Philadelphia,US,https://egyptianmuseum.catalogaccess.com/api/items/1433,"Drexel Institute sold Egyptian crocodile mummies to Minneapolis Institute of Arts in 1916 (later Rosicrucian RC-1675, RC-2253); Drexel may have had more",OFFICIAL,OPEN,usa_midwest_west
Dumbarton Oaks; Catholic University of America; Howard University,"Washington, DC",US,UNKNOWN,Not checked (low likelihood).,SECONDARY,OPEN,usa_south
Field Museum of Natural History (inventory numbers),Chicago,US,https://collections-anthropology.fieldmuseum.org/list?ss_all=crocodile,"Institution CONFIRMED (neonatal crocodile mummy, CT; crocodile among 31 animal mummies on display) but EMu web DB blocked by Turnstile - catalogue numbers and count missing",OFFICIAL,IN_MASTER INST-US-003,usa_midwest_west
Fine Arts Museums of San Francisco (Legion of Honor),San Francisco,US,https://www.famsf.org/search?q=crocodile%20mummy,Egyptian collection incl. animal mummies (unverified); site Cloudflare 403,OFFICIAL,OPEN,usa_midwest_west
"Fralin Museum of Art, University of Virginia","Charlottesville, VA",US,https://uvafralinartmuseum.virginia.edu/,403; not checked.,OFFICIAL,OPEN,usa_south
Gibbes Museum of Art,"Charleston, SC",US,https://www.gibbesmuseum.org/,403; not checked.,OFFICIAL,OPEN,usa_south
Harvard Art Museums,"Cambridge, Massachusetts",US,Assignment candidate list (unverified memory list from orchestrator); not checked due to budget,NOT YET SEARCHED. Resume: https://harvardartmuseums.org/collections?q=crocodile,SECONDARY,OPEN,usa_northeast
Harvard Museum of the Ancient Near East,"Cambridge, Massachusetts",US,Assignment candidate list (unverified memory list from orchestrator); not checked due to budget,NOT YET SEARCHED. Resume: https://hmane.harvard.edu - check Egyptian holdings,SECONDARY,OPEN,usa_northeast
Harvard Peabody Museum of Archaeology and Ethnology,"Cambridge, Massachusetts",US,Assignment candidate list (unverified memory list from orchestrator); not checked due to budget,NOT YET SEARCHED. Resume: https://collections.peabody.harvard.edu - search 'crocodile mummy',SECONDARY,OPEN,usa_northeast
Herbert F. Johnson Museum of Art / Cornell Anthropology Collections,Ithaca,US,Assignment candidate list (unverified memory list from orchestrator); not checked due to budget,NOT YET SEARCHED. Resume: emuseum.cornell.edu search crocodile,SECONDARY,OPEN,usa_northeast
Johns Hopkins Archaeological Museum,"Baltimore, MD",US,https://archaeologicalmuseum.jhu.edu/,Cloudflare block; search online collection manually.,OFFICIAL,CHECKED_NO_CONFIRMATION,usa_south
"Kelsey Museum of Archaeology, University of Michigan",Ann Arbor,US,"Shimizu 2026 (Boak 1933 Karanis temples; Michigan excavations Karanis 1924-35, Dimai 1931-32); https://quod.lib.umich.edu/k/kelsey?q1=crocodile; type=simple; rgn=kelsey_all; med=1",Karanis southern temple of Pnepheros & Petesouchos had niches for crocodile mummies on litters; Michigan division of finds may include crocodile mummies/litters - check Kelsey DB (quod.lib.umich.edu/k/kelsey) for 'crocodile'. | Karanis/Dimai excavations; DB blocked by Cloudflare (curl+WebFetch 403); crocodile mummies unverified,SCHOLARLY; OFFICIAL,OPEN,toponyms;usa_midwest_west
Kimbell Art Museum; Perot Museum; Witte Museum; Blanton; Mayborn Museum (Baylor); Museum of Texas Tech; Philbrook; Gilcrease; Fred Jones Jr. Museum; Sam Noble ethnology,UNKNOWN,US,UNKNOWN,Not checked (art/anthropology DBs).,SECONDARY,OPEN,usa_south
"Memorial Art Gallery, University of Rochester",Rochester,US,Assignment candidate list (unverified memory list from orchestrator); not checked due to budget,NOT YET SEARCHED. Resume: https://magart.rochester.edu - search crocodile,SECONDARY,OPEN,usa_northeast
Metropolitan Museum of Art,New York,US,https://www.britishmuseum.org/sites/default/files/2024-11/Animal_mummies_from_beliefs_to_practice_abstracts.pdf,"Crocodile mummy, accession 90.6.115 (TT 315, MMA 516, Deir el-Bahari) - figure in F. Russo abstract on Fayum crocodile mummies with papyrus cartonnage (Tebtynis, Khamsin, El-Lahun)",OFFICIAL,IN_MASTER INST-US-005,uk_south
Michael C. Carlos Museum,"Atlanta, GA",US,https://collections.carlos.emory.edu/,NBC News 2010 says a crocodile mummy was displayed; not in eMuseum - ask registrar / check Niagara Falls Museum purchase list.,SECONDARY,OPEN,usa_south
Milwaukee Public Museum,Milwaukee,US,https://www.mpm.edu/research-collections/anthropology,Egyptian mummies/animal mummies; no online DB found,OFFICIAL,OPEN,usa_midwest_west
Minneapolis Institute of Art (Mia),Minneapolis,US,https://egyptianmuseum.catalogaccess.com/api/items/1433,Mia sold crocodile mummies RC-1675 and RC-2253 to the Rosicrucian Egyptian Museum in 1958 (lot 13); Mia had bought them 1916 from Drexel Institute with the Dunwoody Fund - Mia may retain other Drexel animal mummies,OFFICIAL,CHECKED_NO_CONFIRMATION,usa_midwest_west
Montclair Art Museum / Morris Museum / Zimmerli Art Museum,New Jersey,US,Assignment candidate list (unverified memory list from orchestrator); not checked due to budget,NOT YET SEARCHED. Resume: search 'crocodile',SECONDARY,OPEN,usa_northeast
Mount Holyoke College Art Museum / Smith College / Mead Art Museum / Beneski Museum / Williams College / Davis Museum Wellesley,Massachusetts,US,Assignment candidate list (unverified memory list from orchestrator); not checked due to budget,NOT YET SEARCHED. Resume: college collection DBs - search 'crocodile',SECONDARY,OPEN,usa_northeast
"Museum of Art and Archaeology, University of Missouri",Columbia,US,https://maa.missouri.edu/collections,"Egyptian antiquities; collections page found, not searched",OFFICIAL,OPEN,usa_midwest_west
"Museum of Fine Arts, Boston",Boston,US,Assignment candidate list (unverified memory list from orchestrator); not checked due to budget,"NOT YET SEARCHED. Resume: https://collections.mfa.org/search/objects/*/crocodile%20mummy (also 'animal mummy', 'Sobek')",SECONDARY,OPEN,usa_northeast
"Nasher Museum of Art, Duke University","Durham, NC",US,https://emuseum.nasher.duke.edu/search/crocodile,eMuseum bot check; search manually.,OFFICIAL,OPEN,usa_south
National Museum of Health and Medicine,"Silver Spring, MD",US,https://medicalmuseum.health.mil/,Not checked.,SECONDARY,OPEN,usa_south
"National Museum of Natural History, Smithsonian",Washington DC,US,"Ikram, Aicardi, Facchetti (eds.), The Animal Mummies of the Museo Egizio, Turin, 2024 (https://shop.museoegizio.it/media/fcp/pdf/9788857020136a.pdf), crocodile chapter 8.12 'Parallels'",Crocodile parallel cited: NMNH AT 5604-0,SCHOLARLY,OPEN,southern_europe
"National Museum of Natural History, Smithsonian Institution","Washington, DC",US,https://si.edu/object/mummied-crocodile:nmnhanthropology_8314204,'Mummied Crocodile' nmnhanthropology_8314204 and 'Mummified Reptiles' nmnhanthropology_8325979 (search results),OFFICIAL,IN_MASTER INST-US-007,uk_south
Natural History Museum of Los Angeles County,Los Angeles,US,https://portal.hearstmuseum.berkeley.edu/catalog/bc3494f8-be44-4b6d-8519-1c1eab41056f,"Hearst 5-514 (fragments of baby crocodile mummies) 'Partially sent to Natural History Museum, Los Angeles county, their number is L.1186-701a,b; L.1186-702' (loan 1929-1945); current location unverified; NHM LA also hosted Field Museum 'Mummies' 2015",OFFICIAL,OPEN,usa_midwest_west
Newark Museum of Art,Newark,US,Assignment candidate list (unverified memory list from orchestrator); not checked due to budget,NOT YET SEARCHED. Resume: collection search 'crocodile mummy',SECONDARY,OPEN,usa_northeast
Oriental Institute Museum (ISAC Museum),Chicago,US,"Ikram, Aicardi, Facchetti (eds.), The Animal Mummies of the Museo Egizio, Turin, 2024 (https://shop.museoegizio.it/media/fcp/pdf/9788857020136a.pdf), crocodile chapter 8.12 'Parallels'",Crocodile parallel cited: OIM E714,SCHOLARLY,OPEN,southern_europe
Peabody Essex Museum,Salem,US,Assignment candidate list (unverified memory list from orchestrator); not checked due to budget,NOT YET SEARCHED. Resume: collection search 'crocodile mummy',SECONDARY,OPEN,usa_northeast
Penn Museum (University of Pennsylvania Museum of Archaeology and Anthropology),Philadelphia,US,"Hekkala et al. 2011, Molecular Ecology 20, Table S3; Ikram, Aicardi, Facchetti (eds.), The Animal Mummies of the Museo Egizio, Turin, 2024 (https://shop.museoegizio.it/media/fcp/pdf/9788857020136a.pdf), crocodile chapter 8.12 'Parallels'; Hekkala et al. 2011, Molecular Ecology 20: 4199-4215, Table S3","Crocodile mummies sampled: E521; 2965563 (Dindereh, Coxe Expedition 1918); E2832 (Tell el-Yehudiyeh, Petrie); L12112 (Maabdah/Samoun); L12113 (Thebes?, G.R. Gliddon 1848) | Crocodile parallel cited: Penn 97-121-3 | Crocodile mummies sampled: Upenn E521 (unknown), 2965563 (Dindereh, Coxe Expedition 1918), E2832 (Tel El Yehudiyeh, Flinders Petrie), L12112 (Maabdah (Samoun), Late period), L12113 (Thebes?, G.R. Glidden 1848, Late period).",SCHOLARLY,IN_MASTER INST-US-008,france;southern_europe;usa_south
Phoebe A. Hearst Museum of Anthropology,Berkeley,US,"Pubblico 2025, Heritage 8:415, fig. 15c; Hekkala et al. 2022, p. 5; Hekkala et al. 2011, Molecular Ecology 20, Table S3; https://awk.nrw.de/die-krokodil-und-menschenmumien-von-tebtynis; Hekkala et al. 2022 pp. 4-5; Ikram, Aicardi, Facchetti (eds.), The Animal Mummies of the Museo Egizio, Turin, 2024 (https://shop.museoegizio.it/media/fcp/pdf/9788857020136a.pdf), crocodile chapter 8.12 'Parallels'; Hekkala et al. 2011 Molecular Ecology 20: 4199-4215, Supporting Information Table S3 (https://www.alligatorfarm.com/Conservation/Hekkala%20and%20Shirley%20et%20al%202011%20(Nile%20crocodile%20systematics_supplements%20included).pdf); Hekkala et al. 2011, Molecular Ecology 20: 4199-4215, Table S3 (https://www.alligatorfarm.com/Conservation/Hekkala%20and%20Shirley%20et%20al%202011%20(Nile%20crocodile%20systematics_supplements%20included).pdf)","Crocodile mummy PAHMA 6-21633 (3D model) | Crocodile mummy 55-13 cited as example | Crocodile mummies sampled: PHM 620101, 55121, 514 (noted 'pre-dynastic') | NRW Akademie project 'Die Krokodil- und Menschenmumien von Tebtynis' (Armoni, Hammerstaedt, Sänger) on Tebtunis crocodile mummies with papyrus cartonnage held at Berkeley | crocodile mummy with hatchlings: 55-12, 55-13, 55-14 | Crocodile parallel cited: HM 5-514 | Three crocodile mummies (hatchlings) sampled for aDNA: PHM 620101, 55121, 514 ('pre-dynastic' per museum notes). Check Hearst CollectionSpace portal. | Crocodile mummies sampled for aDNA: PHM 620101, PHM 55121, PHM 514 (listed 'Mummy unknown, Egypt, pre-dynastic'); one PHM hatchling noted.",SCHOLARLY; OFFICIAL,IN_MASTER INST-US-009,france;germany;literature;southern_europe;usa_northeast;usa_south
Princeton University Art Museum,Princeton,US,Assignment candidate list (unverified memory list from orchestrator); not checked due to budget,NOT YET SEARCHED. Resume: https://artmuseum.princeton.edu/search/collections?mainSearch=crocodile (has API),SECONDARY,OPEN,usa_northeast
Putnam Museum and Science Center,Davenport,US,https://www.putnam.org/ancient-egypt/,Egyptian gallery (Palmer bequest mummy); pages show no crocodile; no online DB,OFFICIAL,OPEN,usa_midwest_west
Reading Public Museum / Everhart Museum,Reading / Scranton,US,Assignment candidate list (unverified memory list from orchestrator); not checked due to budget,NOT YET SEARCHED. Resume: collection search 'crocodile',SECONDARY,OPEN,usa_northeast
Remaining Midwest/West candidates not searched,UNKNOWN,US,assignment candidate list (usa_midwest_west),LACMA; Getty; Fowler (UCLA); Bowers; SD Natural History Museum; Santa Barbara MNH; California Academy of Sciences; Cincinnati Art Museum; Cincinnati Museum Center; Cleveland MNH; Dayton Art Institute; Columbus Museum of Art; Newfields; Eskenazi (IU); David Owsley (Ball State); Raclin Murphy/Snite (Notre Dame); Chazen; Logan Museum (Beloit); Science Museum of Minnesota; Bell Museum; UI Museum of Natural History; Kemper; Spencer Museum; Joslyn; Univ. Nebraska State Museum; Denver Art Museum; NHM Utah; BYU Museum of Peoples and Cultures; Phoenix Art Museum; Arizona State Museum; Seattle Art Museum; Portland Art Museum; OMSI; Maryhill; Bishop Museum; Honolulu Museum of Art; UA Museum of the North; Illinois State Museum; Burpee,SECONDARY,OPEN,usa_midwest_west
RISD Museum / Haffenreffer Museum (Brown),Providence / Bristol RI,US,Assignment candidate list (unverified memory list from orchestrator); not checked due to budget,NOT YET SEARCHED. Resume: https://risdmuseum.org/art-design/collection?search_api_fulltext=crocodile,SECONDARY,OPEN,usa_northeast
Rochester Museum & Science Center,Rochester,US,Assignment candidate list (unverified memory list from orchestrator); not checked due to budget,NOT YET SEARCHED. Resume: collections search 'crocodile',SECONDARY,OPEN,usa_northeast
Saint Louis Art Museum,St. Louis,US,https://www.slam.org/collection/objects/?q=crocodile,Egyptian collection; collection search 403,OFFICIAL,OPEN,usa_midwest_west
San Antonio Museum of Art (eMuseum records),"San Antonio, TX",US,https://sanantonio.emuseum.com/search/crocodile,Confirmed 3 (or 4) crocodile mummies; eMuseum Cloudflare-blocked - retrieve individual records/accession numbers manually.,OFFICIAL,IN_MASTER INST-US-010,usa_south
San Diego Museum of Us,San Diego,US,https://collections.museumofus.org/search/crocodile,Egyptian mummies/animal mummies possible; host proxy 502 (URL guessed),SECONDARY,OPEN,usa_midwest_west
"Smithsonian Institution (non-NMNH units: NMAfA, Freer/Sackler etc.)","Washington, DC",US,https://api.si.edu/openaccess/api/v1.0/search,"Only the phrase queries '""crocodile mummy""' and '""mummified crocodile""' completed (2 hits each, both NMNH). Broader queries hit DEMO_KEY 429.",OFFICIAL,OPEN,portals_world
"Smithsonian (Freer/Sackler NMAA, NMAfA) via Open Access API","Washington, DC",US,https://api.si.edu/openaccess/api/v1.0/search?q=Sobek&api_key=DEMO_KEY,Queries 'Sobek' and 'Crocodylus AND Egypt' hit 429; rerun.,OFFICIAL,OPEN,usa_south
Springfield Science Museum / Berkshire Museum / Worcester Art Museum,Massachusetts,US,Assignment candidate list (unverified memory list from orchestrator); not checked due to budget,NOT YET SEARCHED. Resume: Egyptian collections - search 'crocodile',SECONDARY,OPEN,usa_northeast
"Spurlock Museum of World Cultures, University of Illinois",Urbana,US,https://www.spurlock.illinois.edu/collections/search-collection/,"Egyptian collection; online DB entry point found, not searched",OFFICIAL,OPEN,usa_midwest_west
Stanford University (anatomy library mummy project),Stanford,US,https://med.stanford.edu/anatomy-library/the-mummy-project/egyptian-mummy-scanning1.html,'Egyptian Crocodile Mummy' scanning page (search result title),OFFICIAL,OPEN,uk_south
Tampa Museum of Art,"Tampa, FL",US,https://tampamuseum.org/mysteries-of-the-nile-ancient-egypt/,2026 exhibition 'Mysteries of the Nile: Ancient Egypt' mentions crocodiles among sacred animals whose mummified remains were dedicated; no object named - check checklist/lenders.,OFFICIAL,OPEN,usa_south
Toledo Museum of Art,Toledo,US,https://emuseum.toledomuseum.org/search/crocodile/objects,Egyptian collection incl. animal mummies (unverified); eMuseum Cloudflare 403,OFFICIAL,OPEN,usa_midwest_west
Utah Museum of Fine Arts,Salt Lake City,US,https://collections.umfa.utah.edu/search/crocodile/objects,URL guessed; proxy 502,SECONDARY,OPEN,usa_midwest_west
Vassar (Frances Lehman Loeb) / Hamilton College / Syracuse University Art Museum / NYU ISAW / Columbia / Brooklyn Children's Museum,New York State,US,Assignment candidate list (unverified memory list from orchestrator); not checked due to budget,NOT YET SEARCHED. Resume: collection DBs - search 'crocodile',SECONDARY,OPEN,usa_northeast
Wadsworth Atheneum Museum of Art,Hartford,US,Assignment candidate list (unverified memory list from orchestrator); not checked due to budget,NOT YET SEARCHED. Resume: collection search 'crocodile',SECONDARY,OPEN,usa_northeast
Wagner Free Institute of Science / Mutter Museum / Philadelphia Museum of Art,Philadelphia,US,Assignment candidate list (unverified memory list from orchestrator); not checked due to budget,NOT YET SEARCHED. Resume: search 'crocodile mummy',SECONDARY,OPEN,usa_northeast
Yale Peabody Museum,New Haven,US,Hekkala et al. 2022 Bull. Peabody Mus. Nat. Hist. 63: 3-14 (https://par.nsf.gov/servlets/purl/10511480),"9 crocodile mummies, Barringer coll.: YPM ANT 021829, 006435.001-.008",SCHOLARLY,IN_MASTER INST-US-011,literature
Yale Peabody Museum of Natural History,New Haven,US,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0279137; De Cupere et al. 2023 PLoS ONE (full text) citing Hekkala et al. 2022 Bull. Peabody Mus. Nat. Hist. 63: 3-14,"Two mummified crocodile hatchlings of unknown provenance radiocarbon-dated on skin (Hekkala et al. 2022, Bull. Peabody Mus. Nat. Hist. 63: 3-14). | Radiocarbon dating on skin of two crocodile hatchling mummies of unknown provenance from the Yale Peabody Museum",SCHOLARLY,OPEN,egypt;toponyms
"Yale Peabody Museum of Natural History, Division of Anthropology",New Haven,US,"Hekkala et al. 2022, Table 1 and Fig. 1","Crocodile mummies YPM ANT 021829, 006435.001-.008 (Barringer Collection; hatchlings and medium)",SCHOLARLY,OPEN,france
Yale Peabody Museum / Yale University collections (via LUX),New Haven,US,https://lux.collections.yale.edu/api/search/item?q=%7B%22text%22%3A%22mummified%20crocodile%22%7D,"LUX API: 'mummified crocodile' 9 hits all text-matching crocodile+mummy; 'crocodile mummy' 11 hits, 2 matching. Object records not yet read/verified.",OFFICIAL,OPEN,portals_world
Museo Nacional de Historia Natural (Uruguay),Montevideo,UY,assignment memory list,not checked (WebSearch budget exhausted),SECONDARY,OPEN,rest_of_world
Museo de Bellas Artes de Caracas,Caracas,VE,WebSearch snippet (45 Egyptian pieces bought 1958 from the Metropolitan Museum),not verified whether animal mummies included,SECONDARY,OPEN,rest_of_world
Durban Natural Science Museum,Durban,ZA,https://egyptinsouthafrica.iziko.org.za/resources/ (listed as Egypt resource),Egyptian holdings; site 503,OFFICIAL,OPEN,rest_of_world
"South African Animal Mummy Project, Dept of Ancient Studies, Stellenbosch University",Stellenbosch,ZA,"https://egyptinsouthafrica.iziko.org.za/2014/02/09/containingantiquities/ (poster at 8th World Congress on Mummy Studies, Rio 2013)","Project CT-scanned SA animal mummies; may list other SA holders (Slabbert, Swanepoel)",OFFICIAL,OPEN,rest_of_world
Natural History Museum of Zimbabwe,Bulawayo,ZW,assignment list,not checked,SECONDARY,OPEN,rest_of_world
